file_a,file_b,choice,source_a,source_b,original_file_a,original_file_b
audio/2331.wav,audio/0393.wav,1.0,coco_nut,anim400k,./dataset/coco_nut/wav/5/5581.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/05/0550593a-c0c1-432f-a433-42384def269e.mp3
audio/0441.wav,audio/1749.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/ae/ae88e3da-bdd6-4058-acad-0f81c2d329e0.mp3,./dataset/reazonspeech_wav_out/002/d100bf358ec5b.wav
audio/2358.wav,audio/0128.wav,1.0,coco_nut,anim400k,./dataset/coco_nut/wav/5/5993.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/7d/7d49fd41-c21d-4741-87d9-a524c6ed7b9a.mp3
audio/0670.wav,audio/1405.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/c6/c63470d6-95f8-4a99-a2e0-6993295feeb6.mp3,./dataset/reazonspeech_wav_out/003/672583c70f4d9.wav
audio/1686.wav,audio/0285.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/002/c07e61553c466.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/08/080b7e97-e9c5-4444-8eea-e7a688562607.mp3
audio/1821.wav,audio/0120.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/001/e558d71f2e2d0.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/f4/f4223c48-355d-4238-bfc7-34313aaf525f.mp3
audio/0012.wav,audio/1456.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/df/df06c855-f06b-4d6b-97df-cb7c61ab3e4f.mp3,./dataset/reazonspeech_wav_out/001/7917eed942ac8.wav
audio/2348.wav,audio/1198.wav,-1.0,coco_nut,reazonspeech,./dataset/coco_nut/wav/5/5841.wav,./dataset/reazonspeech_wav_out/000/2683d3ed8c1ef.wav
audio/1139.wav,audio/0961.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/000/153db09362caf.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/92/9238deea-b127-481d-9587-032af1d95435.mp3
audio/1121.wav,audio/0873.wav,-1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/003/0eeac27307947.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/f1/f197e361-fe7d-4336-9808-fa67691993f2.mp3
