file_a,file_b,choice,source_a,source_b,original_file_a,original_file_b,speaker_cos,text_cos
audio/00504.wav,audio/01748.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/81/81627dc3-404a-4e65-b1f5-6b59306480c1.mp3,./dataset/reazonspeech_wav_out/003/06de9cb832862.wav,,
audio/00540.wav,audio/01194.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/8a/8a7ccfbd-6c0f-4667-8d4a-f08ff14878f7.mp3,./dataset/reazonspeech_wav_out/000/a4b8ccdafcc63.wav,,
audio/01733.wav,audio/00154.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/002/f62c895949ea5.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/25/25114325-48d8-49ef-9913-3e9bc670b64b.mp3,,
audio/01250.wav,audio/00562.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/000/e509c712b5e9d.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/8f/8f72f463-b54f-4c9d-acb6-75270b616c79.mp3,,
audio/00006.wav,audio/01967.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/01/015cd1c8-cf4e-4d00-b4dc-24e1a1980956.mp3,./dataset/reazonspeech_wav_out/003/fed8fc77e86d4.wav,,
audio/00277.wav,audio/01400.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/45/45352f55-2f73-4d70-9de9-332a1a721861.mp3,./dataset/reazonspeech_wav_out/001/8b5529921c3c8.wav,,
audio/00757.wav,audio/01172.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/c0/c0a2b86e-c6dd-410f-a3b6-9b62bc55da47.mp3,./dataset/reazonspeech_wav_out/000/8a6cac2d6e8ed.wav,,
audio/00339.wav,audio/01138.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/56/56182216-1eac-4693-a637-cf35a01d4071.mp3,./dataset/reazonspeech_wav_out/000/6cd7baa4afa76.wav,,
audio/00278.wav,audio/01757.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/45/453e042f-b23c-45d5-836e-f77467d2d325.mp3,./dataset/reazonspeech_wav_out/003/0eeac27307947.wav,,
audio/01535.wav,audio/00624.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/002/1ca11d7813ff6.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/9e/9edd17aa-2473-4a62-84c2-bdf522f9b349.mp3,0.6256420612335205,0.6740573644638062
audio/00387.wav,audio/01080.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/62/62111e32-b723-4364-95c0-edcecff79139.mp3,./dataset/reazonspeech_wav_out/000/2f036e11cdfb7.wav,,
audio/01685.wav,audio/00525.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/002/cfeab810b45bf.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/86/86ea17a1-4def-4dca-a8c5-081a3c61da96.mp3,,
audio/00929.wav,audio/01631.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/e6/e62be60f-900b-42b5-af1a-469771745ec4.mp3,./dataset/reazonspeech_wav_out/002/8da87a2555dc7.wav,,
