shuffled_id,shuffled_file,original_file,source,ref_text,cer,duration_sec,utmos
1,audio/00001.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/00/00085c4d-0933-486e-ac0d-c088ce397b2c.mp3,anim400k,けど、あんまり器用なよ、ジン,0.182,4.279,3.753215
2,audio/00002.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/00/004739cf-8a1a-488f-9325-ec81bdc9ce3f.mp3,anim400k,放つのは二級樹霊では 二級では心もとないのでな,0.286,7.519,3.417302
3,audio/00003.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/00/006dab54-21da-4709-b05b-6202d0383db6.mp3,anim400k,とどめをさしたいと思います,0.25,3.779,3.48386
4,audio/00004.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/00/00e9ae3b-2dc0-4fb6-8af9-9a5af3714e10.mp3,anim400k,編集長、今日の会議キャンセルします。,0.0,4.459,3.386812
5,audio/00005.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/01/013c3abe-19bb-42cf-b05e-de8f8c36aa25.mp3,anim400k,冷静になれば済むことです。,0.167,4.399,3.424808
6,audio/00006.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/01/015cd1c8-cf4e-4d00-b4dc-24e1a1980956.mp3,anim400k,家のコストにでも投げ込むか,0.077,4.119,3.886178
7,audio/00007.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/01/016eec65-943d-4cd7-af0a-2ef6fc26b562.mp3,anim400k,人間は彼らの強い力を尊敬するとともに畏怖し。,0.095,6.559,3.640085
8,audio/00008.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/01/01803cbf-016d-43c2-a924-2e8c34e04b84.mp3,anim400k,アポロが持ち帰った月の石は、すべてはアメリカの国宝……,0.087,6.919,3.333567
9,audio/00009.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/01/0196de6d-72ab-4b0e-a1b7-5c111cb1136d.mp3,anim400k,シュヴェルトの発生を確立,0.25,4.419,3.23222
10,audio/00010.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/01/01c3f15c-7842-47f5-af13-bbcc0702bfd5.mp3,anim400k,夜部に申し訳ありません。松戸平介の使いの者です。,0.227,8.379,3.107892
11,audio/00011.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/01/01e6e3f3-9edf-4d9d-8557-29e86b73c4cb.mp3,anim400k,正直に言う、私はニュアに連絡した。,0.214,5.879,3.423257
12,audio/00012.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/02/021c60dc-ac5b-4ebb-8ab8-74380f424561.mp3,anim400k,在宅プログラマの収入で,0.091,4.079,3.185731
13,audio/00013.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/02/022bdc65-fb70-48ef-b330-ee93a0a96c35.mp3,anim400k,ディノニクス。全長約三メートル。,0.214,6.079,3.692233
14,audio/00014.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/02/0231dbb6-df38-4b30-91f5-175692aa1ce5.mp3,anim400k,そして熱いの中には矛盾がなかった,0.062,5.599,3.821426
15,audio/00015.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/02/02a1ded9-9c5b-4a08-b8e5-becb192f9f71.mp3,anim400k,同植物の生態の観察を好きなのは、明らかに俺と同じ理系の支出だ。,0.103,8.179,3.537431
16,audio/00016.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/02/02c98ddb-1a6d-4bbf-b70f-a62652489add.mp3,anim400k,手術は成功しました。,0.0,9.459,3.733664
17,audio/00017.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/02/02d6270d-e3c8-4622-a07f-5b4816f7c011.mp3,anim400k,力を使ったからか、体の軋む音が止まない。,0.211,8.939,3.197825
18,audio/00018.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/02/02e91e75-742e-44fd-b78b-7b41ae4540a6.mp3,anim400k,藤原デザインは、いい会社だと思うわ。,0.214,5.599,3.659073
19,audio/00019.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/02/02eb1566-dec5-4025-9023-59f7c50cb642.mp3,anim400k,使います 放山はそれまで待機をお預かりしているにすみません,0.292,7.219,3.038033
20,audio/00020.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/03/032e294d-9f75-4c61-b574-52c388d1a8fc.mp3,anim400k,細胞の遺伝子が組み替えられていますね,0.0,4.919,3.582599
21,audio/00021.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/03/037dab9d-26c9-4819-b2b1-43a2aca0ef4b.mp3,anim400k,それに50人の施設部隊だけだ,0.143,5.279,3.773905
22,audio/00022.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/03/039ff282-52c2-499d-a5bc-ce1173c891ea.mp3,anim400k,かくたる証拠もなく判定するのは 理工学専攻失格ね,0.091,6.539,3.145074
23,audio/00023.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/03/03a42d9c-f982-495d-8d9a-09e02c78ad65.mp3,anim400k,ネズミに盗まれたままでは固釈でな,0.176,4.779,3.662212
24,audio/00024.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/05/05149ad1-6664-40a1-b1de-23e68d7788fd.mp3,anim400k,から元気でもないよりましね,0.143,4.419,3.395448
25,audio/00025.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/05/0550593a-c0c1-432f-a433-42384def269e.mp3,anim400k,我々ホーリーを殺し、室上破壊し続けるあの男に罪を償わせなければいけない。,0.273,8.179,3.582983
26,audio/00026.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/05/05f95a5d-9ef3-4f54-9495-9d1725177e73.mp3,anim400k,見たこともない構えだな。中国軍法か?,0.2,5.779,3.792752
27,audio/00027.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/06/06684e24-42de-48fa-a3ec-672504b2b6c1.mp3,anim400k,君が、死んだれいこそっくりに見える。,0.0,4.399,3.87543
28,audio/00028.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/06/066efcfc-355b-4c03-aaed-b2cffc66bfe5.mp3,anim400k,自分の幸せを願うことは,0.0,4.419,3.235547
29,audio/00029.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/06/06e1e4d0-6baa-442a-aa2f-2df6f9b29f4c.mp3,anim400k,ベッドの下には何もなせんですね,0.214,8.599,3.765329
30,audio/00030.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/07/071356b0-ff2a-4d77-806f-85ed7e5bb70c.mp3,anim400k,謹んでお受けいたします。,0.182,4.799,3.693232
31,audio/00031.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/07/0723cd6c-3603-43e4-ba50-0bf3c18f62ae.mp3,anim400k,世界の見方を少し変えるだけでな,0.062,5.039,3.436037
32,audio/00032.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/07/077b2c9c-0513-4b87-b4ba-3e540f1d2407.mp3,anim400k,いつも夢の中じゃ そのコロニーの中で,0.267,5.219,3.052004
33,audio/00033.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/07/07dbd712-8223-48d1-8f22-4125649d622b.mp3,anim400k,嫌な人に会っただけです,0.0,4.099,3.114587
34,audio/00034.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/08/080b7e97-e9c5-4444-8eea-e7a688562607.mp3,anim400k,私のトリガーに当たるのがこのチョーク,0.235,5.479,3.505677
35,audio/00035.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/08/0864cf53-0f67-4451-99b0-dc65651ab53d.mp3,anim400k,近々、ゲンパイロットに、決意の出る可能性があるそうだ,0.174,6.919,4.036404
36,audio/00036.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/08/08d8c96b-bfbc-450c-8f67-f77856bdfc22.mp3,anim400k,大きい 今のパイロットが使い物にならなくなったと言う,0.286,5.879,3.346338
37,audio/00037.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/09/09710616-97ef-40b4-ba1d-c5dbdc912f5a.mp3,anim400k,安心 でも品勝負があるからお客さんへ安心安全が届けられる,0.08,7.959,3.331413
38,audio/00038.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/09/09d10b3e-254d-4547-aa8d-3616fa13a905.mp3,anim400k,地球は火にかけてい。た。,0.1,5.719,3.523187
